resolution_minutes,fold,model,c_value,term,standardized_coefficient
5,8,m1,0.01,coherence_30m,-0.0408156525274
5,8,m1,0.01,coherence_60m,0.0891598573345
5,8,m1,0.01,common_direction,-0.0573272537299
5,8,m1,0.01,joint_intensity,0.110908098247
5,8,m1,0.01,magnitude_balance,-0.0728857431295
5,8,m1,0.01,absolute_magnitude_balance,0.0347704227304
5,8,m1,0.01,intercept,0.736196462919
5,9,m0,10,coherence_15m,0.0253003081916
5,9,m0,10,coherence_30m,-0.0586129993924
5,9,m0,10,coherence_60m,0.124518694146
5,9,m0,10,common_direction,-0.0563798701028
5,9,m0,10,intercept,0.721265664956
5,9,m1,10,coherence_15m,0.0270261361464
5,9,m1,10,coherence_30m,-0.0625217473266
5,9,m1,10,coherence_60m,0.104408754779
5,9,m1,10,common_direction,-0.0540511326558
5,9,m1,10,joint_intensity,0.110487679093
5,9,m1,10,magnitude_balance,-0.0635522889819
5,9,m1,10,absolute_magnitude_balance,0.0293886486388
5,9,m1,10,intercept,0.72437630347
5,10,m0,0.01,coherence_15m,0.0171754254369
5,10,m0,0.01,coherence_30m,-0.0355604101175
5,10,m0,0.01,coherence_60m,0.110344772065
5,10,m0,0.01,common_direction,-0.0497498079226
5,10,m0,0.01,intercept,0.719516153181
5,10,m1,0.01,coherence_15m,0.0185843609855
5,10,m1,0.01,coherence_30m,-0.0395792323833
5,10,m1,0.01,coherence_60m,0.0924757803109
5,10,m1,0.01,common_direction,-0.0480472122728
5,10,m1,0.01,joint_intensity,0.101986225858
5,10,m1,0.01,magnitude_balance,-0.0626969655901
5,10,m1,0.01,absolute_magnitude_balance,0.0289122492865
5,10,m1,0.01,intercept,0.722269751293
5,11,m0,0.01,coherence_15m,0.016884980652
5,11,m0,0.01,coherence_30m,-0.0317719200912
5,11,m0,0.01,coherence_60m,0.106579804148
5,11,m0,0.01,common_direction,-0.0474624372805
5,11,m0,0.01,intercept,0.733741353593
5,11,m1,0.01,coherence_15m,0.0183186654448
5,11,m1,0.01,coherence_30m,-0.0360003867366
5,11,m1,0.01,coherence_60m,0.0894302941913
5,11,m1,0.01,common_direction,-0.0456960721746
5,11,m1,0.01,joint_intensity,0.100456263883
5,11,m1,0.01,magnitude_balance,-0.062636386571
5,11,m1,0.01,absolute_magnitude_balance,0.0255933772328
5,11,m1,0.01,intercept,0.736475022836
1,0,m0,0.01,coherence_15m,0.0176493583455
1,0,m0,0.01,coherence_30m,0.0042793713083
1,0,m0,0.01,coherence_60m,0.0854046262442
1,0,m0,0.01,common_direction,-0.0309355873349
1,0,m0,0.01,intercept,0.574404096182
1,0,m1,0.1,coherence_15m,0.016884134786
1,0,m1,0.1,coherence_30m,0.0023290292946
1,0,m1,0.1,coherence_60m,0.0822105896913
1,0,m1,0.1,common_direction,-0.0311396723518
1,0,m1,0.1,joint_intensity,0.00660077603541
1,0,m1,0.1,magnitude_balance,-0.0556992845841
1,0,m1,0.1,absolute_magnitude_balance,-0.0170707499029
1,0,m1,0.1,intercept,0.574948852573
1,1,m0,10,coherence_15m,0.019797145263
1,1,m0,10,coherence_30m,0.00380440456408
1,1,m0,10,coherence_60m,0.11810202164
1,1,m0,10,common_direction,-0.0290298471362
1,1,m0,10,intercept,0.633182071432
1,1,m1,10,coherence_15m,0.0188223807313
1,1,m1,10,coherence_30m,0.00332194076126
1,1,m1,10,coherence_60m,0.109849646024
1,1,m1,10,common_direction,-0.0286064879086
1,1,m1,10,joint_intensity,0.0147563365822
1,1,m1,10,magnitude_balance,-0.0570982001494
1,1,m1,10,absolute_magnitude_balance,-0.0134862590506
1,1,m1,10,intercept,0.633725384826
1,2,m0,10,coherence_15m,0.0195377441984
1,2,m0,10,coherence_30m,0.0224397846161
1,2,m0,10,coherence_60m,0.147426318834
1,2,m0,10,common_direction,-0.0275385816474
1,2,m0,10,intercept,0.683605400599
1,2,m1,10,coherence_15m,0.0177708436123
1,2,m1,10,coherence_30m,0.0217234099823
1,2,m1,10,coherence_60m,0.134139463398
1,2,m1,10,common_direction,-0.0269557492511
1,2,m1,10,joint_intensity,0.0247098990548
1,2,m1,10,magnitude_balance,-0.0644581763233
1,2,m1,10,absolute_magnitude_balance,-0.0138374969709
1,2,m1,10,intercept,0.684720850362
1,3,m0,10,coherence_15m,0.0125585105092
1,3,m0,10,coherence_30m,0.0294411385488
1,3,m0,10,coherence_60m,0.137260736369
1,3,m0,10,common_direction,-0.0243483352495
1,3,m0,10,intercept,0.667644506279
1,3,m1,10,coherence_15m,0.0108522442781
1,3,m1,10,coherence_30m,0.0286087683517
1,3,m1,10,coherence_60m,0.12273029738
1,3,m1,10,common_direction,-0.0235255255257
