resolution_minutes,fold,model,alpha,term,coefficient_bps_per_feature_sd
5,2,nq_only,1000,weekday_wednesday,0.00351008355615
5,2,nq_only,1000,weekday_thursday,0.0248757417856
5,2,nq_only,1000,weekday_friday,-1.86706141195e-05
5,2,nq_only,1000,intercept,-0.00232622438241
5,2,cross_market,1000,nq_direction,0.0540070753045
5,2,cross_market,1000,nq_magnitude,-0.0251657698418
5,2,cross_market,1000,nq_aligned_momentum_5m,-0.0243151457365
5,2,cross_market,1000,nq_aligned_momentum_15m,0.0259011383184
5,2,cross_market,1000,nq_aligned_momentum_30m,0.177256105501
5,2,cross_market,1000,nq_aligned_momentum_60m,-0.255518943467
5,2,cross_market,1000,session_sin_1,-0.0357959173258
5,2,cross_market,1000,session_cos_1,0.0524731214124
5,2,cross_market,1000,session_sin_2,0.0284210215134
5,2,cross_market,1000,session_cos_2,0.0269278035463
5,2,cross_market,1000,weekday_tuesday,0.0636024747846
5,2,cross_market,1000,weekday_wednesday,0.00685674101094
5,2,cross_market,1000,weekday_thursday,0.0283332677165
5,2,cross_market,1000,weekday_friday,0.00342638506848
5,2,cross_market,1000,btc_magnitude,-0.0319025543768
5,2,cross_market,1000,btc_aligned_momentum_5m,0.0192462048244
5,2,cross_market,1000,btc_aligned_momentum_15m,-0.0111212558798
5,2,cross_market,1000,btc_aligned_momentum_30m,-0.0897312282387
5,2,cross_market,1000,btc_aligned_momentum_60m,0.173497476831
5,2,cross_market,1000,coherence_15m,0.0604787644332
5,2,cross_market,1000,coherence_30m,-0.0391885860441
5,2,cross_market,1000,coherence_60m,0.0175658128003
5,2,cross_market,1000,joint_intensity,0.1042230808
5,2,cross_market,1000,magnitude_balance,-0.00145458036319
5,2,cross_market,1000,absolute_magnitude_balance,0.0259074390217
5,2,cross_market,1000,intercept,-0.00232622438241
5,3,nq_only,1000,nq_direction,0.0312656482493
5,3,nq_only,1000,nq_magnitude,0.0471144306639
5,3,nq_only,1000,nq_aligned_momentum_5m,-0.00395725573878
5,3,nq_only,1000,nq_aligned_momentum_15m,-0.0275674785203
5,3,nq_only,1000,nq_aligned_momentum_30m,0.16585946324
5,3,nq_only,1000,nq_aligned_momentum_60m,-0.190187902174
5,3,nq_only,1000,session_sin_1,-0.0389506727406
5,3,nq_only,1000,session_cos_1,0.0636176075859
5,3,nq_only,1000,session_sin_2,0.0370625589992
5,3,nq_only,1000,session_cos_2,0.0190326105766
5,3,nq_only,1000,weekday_tuesday,0.0577530557568
5,3,nq_only,1000,weekday_wednesday,-0.000890570323679
5,3,nq_only,1000,weekday_thursday,0.0198465586809
5,3,nq_only,1000,weekday_friday,-0.0133694196102
5,3,nq_only,1000,intercept,0.0120022800347
5,3,cross_market,1000,nq_direction,0.0305585110382
5,3,cross_market,1000,nq_magnitude,0.00643096400442
5,3,cross_market,1000,nq_aligned_momentum_5m,-0.0364013342703
5,3,cross_market,1000,nq_aligned_momentum_15m,-0.0183491706583
5,3,cross_market,1000,nq_aligned_momentum_30m,0.175139828573
5,3,cross_market,1000,nq_aligned_momentum_60m,-0.22741754736
5,3,cross_market,1000,session_sin_1,-0.0360025125734
5,3,cross_market,1000,session_cos_1,0.0629076805201
5,3,cross_market,1000,session_sin_2,0.0362453397593
5,3,cross_market,1000,session_cos_2,0.0194758281366
5,3,cross_market,1000,weekday_tuesday,0.0591255257529
5,3,cross_market,1000,weekday_wednesday,0.00178069231233
5,3,cross_market,1000,weekday_thursday,0.0230698147821
5,3,cross_market,1000,weekday_friday,-0.011170955626
5,3,cross_market,1000,btc_magnitude,-0.0420472790241
5,3,cross_market,1000,btc_aligned_momentum_5m,0.0588364314797
5,3,cross_market,1000,btc_aligned_momentum_15m,-0.0284822227616
5,3,cross_market,1000,btc_aligned_momentum_30m,-0.0481882100415
5,3,cross_market,1000,btc_aligned_momentum_60m,0.130077360753
5,3,cross_market,1000,coherence_15m,0.0640069675422
5,3,cross_market,1000,coherence_30m,-0.0500685971277
5,3,cross_market,1000,coherence_60m,0.0111728274623
5,3,cross_market,1000,joint_intensity,0.0676170467871
5,3,cross_market,1000,magnitude_balance,-0.0308499118617
5,3,cross_market,1000,absolute_magnitude_balance,-0.000778499822326
5,3,cross_market,1000,intercept,0.0120022800347
5,4,nq_only,1000,nq_direction,0.0097967906023
5,4,nq_only,1000,nq_magnitude,0.0760797739906
5,4,nq_only,1000,nq_aligned_momentum_5m,-0.283823019708
5,4,nq_only,1000,nq_aligned_momentum_15m,-0.0496184284403
5,4,nq_only,1000,nq_aligned_momentum_30m,0.267142470191
5,4,nq_only,1000,nq_aligned_momentum_60m,-0.104722823518
5,4,nq_only,1000,session_sin_1,-0.0158477918711
5,4,nq_only,1000,session_cos_1,0.0605395645407
5,4,nq_only,1000,session_sin_2,-0.0170858589259
5,4,nq_only,1000,session_cos_2,0.024390620343
5,4,nq_only,1000,weekday_tuesday,0.0545321634176
5,4,nq_only,1000,weekday_wednesday,-0.0320637027172
5,4,nq_only,1000,weekday_thursday,-0.0125790428255
5,4,nq_only,1000,weekday_friday,-0.0384974214632
5,4,nq_only,1000,intercept,0.0285848052534
5,4,cross_market,0.01,nq_direction,0.00543707519225
5,4,cross_market,0.01,nq_magnitude,-0.46941259327
5,4,cross_market,0.01,nq_aligned_momentum_5m,-0.528329365623
5,4,cross_market,0.01,nq_aligned_momentum_15m,-0.0589390170677
5,4,cross_market,0.01,nq_aligned_momentum_30m,0.355642898088
5,4,cross_market,0.01,nq_aligned_momentum_60m,-0.17272429699
5,4,cross_market,0.01,session_sin_1,-0.0085404891722
5,4,cross_market,0.01,session_cos_1,0.064570316716
5,4,cross_market,0.01,session_sin_2,-0.0231108980298
5,4,cross_market,0.01,session_cos_2,0.022037599834
5,4,cross_market,0.01,weekday_tuesday,0.0652957998456
5,4,cross_market,0.01,weekday_wednesday,-0.0183756677827
5,4,cross_market,0.01,weekday_thursday,0.00240749435232
5,4,cross_market,0.01,weekday_friday,-0.0267970248106
5,4,cross_market,0.01,btc_magnitude,-0.41231179605
5,4,cross_market,0.01,btc_aligned_momentum_5m,0.114291130216
5,4,cross_market,0.01,btc_aligned_momentum_15m,-0.0208486434637
5,4,cross_market,0.01,btc_aligned_momentum_30m,-0.120090115781
5,4,cross_market,0.01,btc_aligned_momentum_60m,0.150883500399
5,4,cross_market,0.01,coherence_15m,0.0286667012237
5,4,cross_market,0.01,coherence_30m,-0.0736105558718
5,4,cross_market,0.01,coherence_60m,0.0752143480875
5,4,cross_market,0.01,joint_intensity,0.957136634935
5,4,cross_market,0.01,magnitude_balance,-0.117954084535
5,4,cross_market,0.01,absolute_magnitude_balance,0.0950662430018
5,4,cross_market,0.01,intercept,0.0285848052534
5,5,nq_only,1000,nq_direction,-0.00142792958564
5,5,nq_only,1000,nq_magnitude,0.00924742855922
5,5,nq_only,1000,nq_aligned_momentum_5m,-0.141331863487
5,5,nq_only,1000,nq_aligned_momentum_15m,-0.101332677416
5,5,nq_only,1000,nq_aligned_momentum_30m,0.323559591381
5,5,nq_only,1000,nq_aligned_momentum_60m,-0.14593477952
5,5,nq_only,1000,session_sin_1,-0.0176945614487
5,5,nq_only,1000,session_cos_1,0.0503334055392
5,5,nq_only,1000,session_sin_2,-0.00904536384565
5,5,nq_only,1000,session_cos_2,0.02406212821
5,5,nq_only,1000,weekday_tuesday,0.0551578750612
5,5,nq_only,1000,weekday_wednesday,-0.0158259029109
5,5,nq_only,1000,weekday_thursday,-0.00243558458768
5,5,nq_only,1000,weekday_friday,-0.0407557473952
5,5,nq_only,1000,intercept,0.0451064213272
5,5,cross_market,0.01,nq_direction,-0.00601188095141
5,5,cross_market,0.01,nq_magnitude,-0.583230481858
5,5,cross_market,0.01,nq_aligned_momentum_5m,-0.310515741809
5,5,cross_market,0.01,nq_aligned_momentum_15m,-0.126129219763
5,5,cross_market,0.01,nq_aligned_momentum_30m,0.419566650494
5,5,cross_market,0.01,nq_aligned_momentum_60m,-0.219563566394
5,5,cross_market,0.01,session_sin_1,-0.0170284758991
5,5,cross_market,0.01,session_cos_1,0.0542875677121
5,5,cross_market,0.01,session_sin_2,-0.018226526327
5,5,cross_market,0.01,session_cos_2,0.0222147199576
5,5,cross_market,0.01,weekday_tuesday,0.0669031369131
5,5,cross_market,0.01,weekday_wednesday,-0.00041319634473
5,5,cross_market,0.01,weekday_thursday,0.0126451548629
5,5,cross_market,0.01,weekday_friday,-0.0278857623471
5,5,cross_market,0.01,btc_magnitude,-0.268924718334
5,5,cross_market,0.01,btc_aligned_momentum_5m,-0.0325165066204
5,5,cross_market,0.01,btc_aligned_momentum_15m,-0.00789596011721
5,5,cross_market,0.01,btc_aligned_momentum_30m,-0.114119442217
5,5,cross_market,0.01,btc_aligned_momentum_60m,0.146067555775
5,5,cross_market,0.01,coherence_15m,0.0178058150384
5,5,cross_market,0.01,coherence_30m,-0.0725848208458
5,5,cross_market,0.01,coherence_60m,0.0570779188748
5,5,cross_market,0.01,joint_intensity,0.944492386758
5,5,cross_market,0.01,magnitude_balance,-0.120093338546
5,5,cross_market,0.01,absolute_magnitude_balance,0.102502610825
5,5,cross_market,0.01,intercept,0.0451064213272
5,6,nq_only,1000,nq_direction,0.00296031939961
5,6,nq_only,1000,nq_magnitude,0.0188137875588
5,6,nq_only,1000,nq_aligned_momentum_5m,-0.131605257071
5,6,nq_only,1000,nq_aligned_momentum_15m,-0.110491758521
5,6,nq_only,1000,nq_aligned_momentum_30m,0.297734538289
5,6,nq_only,1000,nq_aligned_momentum_60m,-0.128828104346
5,6,nq_only,1000,session_sin_1,-0.0253814337877
5,6,nq_only,1000,session_cos_1,0.0307950951497
5,6,nq_only,1000,session_sin_2,-0.00691232589396
5,6,nq_only,1000,session_cos_2,0.0335772374594
5,6,nq_only,1000,weekday_tuesday,0.058642415099
5,6,nq_only,1000,weekday_wednesday,-0.0102994043512
5,6,nq_only,1000,weekday_thursday,-0.00188547588714
5,6,nq_only,1000,weekday_friday,-0.0418061930638
5,6,nq_only,1000,intercept,0.0324232213635
5,6,cross_market,0.01,nq_direction,-0.000699070721718
5,6,cross_market,0.01,nq_magnitude,-0.533442600345
5,6,cross_market,0.01,nq_aligned_momentum_5m,-0.289909473731
5,6,cross_market,0.01,nq_aligned_momentum_15m,-0.128907003116
5,6,cross_market,0.01,nq_aligned_momentum_30m,0.375806490064
5,6,cross_market,0.01,nq_aligned_momentum_60m,-0.191312804223
5,6,cross_market,0.01,session_sin_1,-0.0250056483741
5,6,cross_market,0.01,session_cos_1,0.0335930608865
