resolution_minutes,direction,horizon_minutes,event_count,session_count,mean_signed_nq_return_bps,median_signed_nq_return_bps,block_bootstrap_ci_lower_bps,block_bootstrap_ci_upper_bps
5,all,5,19955,395,0.01155376181,-0.1001487209,-0.1496028875,0.1807326261
5,all,15,19441,395,0.07575681662,0,-0.1772781817,0.3372854869
5,all,30,18678,395,0.2279386272,0.09626663204,-0.2129428352,0.6988565336
5,all,60,17093,395,0.6300787312,0.3715423342,0.07174919694,1.281431195
5,up,5,10180,395,0.02267792071,0.09732795387,-0.2223996715,0.2821452317
5,up,15,9897,395,0.2361332519,0.4987954092,-0.3148573104,0.8885587055
5,up,30,9557,395,0.2982444887,0.8551237186,-0.7097570717,1.430765457
5,up,60,8736,395,1.142033149,1.979893042,-0.8676912182,3.27857302
5,down,5,9775,395,-3.129574891e-05,-0.2325121778,-0.2515610579,0.2355166983
5,down,15,9544,395,-0.0905513959,-0.5045341202,-0.6745003773,0.4966334188
5,down,30,9121,395,0.1542720206,-0.7454342158,-0.9580740511,1.308528501
5,down,60,8357,395,0.09490656501,-1.399216441,-1.962359071,2.171009734
1,all,1,99407,395,-0.02876288986,0,-0.06617986757,0.008893169485
1,all,2,99165,395,-0.01440008539,0,-0.05926118472,0.02955929481
1,all,3,98915,395,-0.01287980505,0,-0.06947257446,0.04758923515
1,all,4,98668,395,-0.004754862308,0,-0.06841787375,0.05715182896
1,all,5,98405,395,-0.03367050578,-0.09829024125,-0.1032709172,0.03429501777
1,all,15,95899,395,0.06800852486,0,-0.05755623672,0.1917654044
1,all,30,92171,395,0.1283544409,0,-0.06911189145,0.3397678208
1,all,60,84670,395,0.3306414815,0.1178001991,0.0620632464,0.6178656193
1,up,1,50252,395,-0.002823244959,0,-0.05625072661,0.04886167072
1,up,2,50099,395,0.03924318699,0.09919109661,-0.04205043952,0.1227982713
1,up,3,49991,395,0.05456977682,0.1166418803,-0.06367196242,0.17499861
1,up,4,49878,395,0.08104272539,0.1260366948,-0.05653441566,0.2407920494
1,up,5,49720,395,0.07479437685,0.1254469164,-0.09943057693,0.2569161017
1,up,15,48406,395,0.2872528015,0.4689327774,-0.1777699874,0.7829816303
1,up,30,46644,395,0.455176412,0.9406074,-0.4495739044,1.474646074
1,up,60,42880,395,1.009485651,1.946843289,-0.8380114671,3.148787063
1,down,1,49155,395,-0.05528143397,-0.1074870075,-0.106421985,-0.00463926926
1,down,2,49066,395,-0.06917272435,-0.1916838137,-0.157041391,0.01661216066
1,down,3,48924,395,-0.08180041758,-0.2138637616,-0.1989170327,0.04171455305
1,down,4,48790,395,-0.09246570631,-0.2384202321,-0.2632020506,0.06997922737
1,down,5,48685,395,-0.1444412558,-0.3091429013,-0.3520132955,0.04933865656
1,down,15,47493,395,-0.1554504787,-0.5348423019,-0.6799195898,0.339446394
1,down,30,45527,395,-0.2064860718,-1.061473809,-1.236173035,0.7810431818
1,down,60,41790,395,-0.3659088408,-1.850326312,-2.274424988,1.593741993
