resolution_minutes,fold,model,alpha,term,coefficient_bps_per_feature_sd
5,2,nq_only,0.01,weekday_thursday,-0.0212510936222
5,2,nq_only,0.01,weekday_friday,-0.329074238601
5,2,nq_only,0.01,intercept,-0.298463375245
5,2,cross_market,0.01,nq_direction,0.0647680174335
5,2,cross_market,0.01,nq_magnitude,6.21567815591
5,2,cross_market,0.01,nq_aligned_momentum_5m,-2.27094429551
5,2,cross_market,0.01,nq_aligned_momentum_15m,1.53278240089
5,2,cross_market,0.01,nq_aligned_momentum_30m,-2.11533442928
5,2,cross_market,0.01,nq_aligned_momentum_60m,1.67151139914
5,2,cross_market,0.01,session_sin_1,0.022138240281
5,2,cross_market,0.01,session_cos_1,-0.00762135258364
5,2,cross_market,0.01,session_sin_2,0.0362559569218
5,2,cross_market,0.01,session_cos_2,0.0224896400088
5,2,cross_market,0.01,weekday_tuesday,0.122548898074
5,2,cross_market,0.01,weekday_wednesday,0.38077321686
5,2,cross_market,0.01,weekday_thursday,-0.0212280729759
5,2,cross_market,0.01,weekday_friday,-0.325015691159
5,2,cross_market,0.01,btc_magnitude,2.63429967023
5,2,cross_market,0.01,btc_aligned_momentum_5m,0.0695589913838
5,2,cross_market,0.01,btc_aligned_momentum_15m,-0.243806730812
5,2,cross_market,0.01,btc_aligned_momentum_30m,0.481120941436
5,2,cross_market,0.01,btc_aligned_momentum_60m,-0.390305619367
5,2,cross_market,0.01,coherence_15m,0.106064088941
5,2,cross_market,0.01,coherence_30m,-0.124187924746
5,2,cross_market,0.01,coherence_60m,0.122617150662
5,2,cross_market,0.01,joint_intensity,-6.44230698789
5,2,cross_market,0.01,magnitude_balance,0.177613472093
5,2,cross_market,0.01,absolute_magnitude_balance,-1.12912727654
5,2,cross_market,0.01,intercept,-0.298463375245
5,3,nq_only,0.01,nq_direction,0.0659266490005
5,3,nq_only,0.01,nq_magnitude,1.46760578247
5,3,nq_only,0.01,nq_aligned_momentum_5m,-1.93560180732
5,3,nq_only,0.01,nq_aligned_momentum_15m,1.276083398
5,3,nq_only,0.01,nq_aligned_momentum_30m,-1.71504107323
