trial_id,run_id,resolution_minutes,outer_fold,model,c_value,inner_fold_count,inner_event_count,inner_oof_brier,inner_fold_brier_json,selected
5f1375de5bd8daed,5840890d5afe6d1c,5,4,m0,1,3,6805,0.240734322376,"[0.24739708848472164, 0.24199221469581428, 0.23395576531603268]",False
51c7c549a5bd4333,5840890d5afe6d1c,5,4,m0,10,3,6805,0.240734319506,"[0.24739710235968393, 0.2419922400915368, 0.23395572223482522]",True
45230b6371ac3319,5840890d5afe6d1c,5,4,m1,0.01,3,6805,0.239952419303,"[0.2472236800201008, 0.241877366666084, 0.2320450411778064]",False
aebe0bd469308d0f,5840890d5afe6d1c,5,4,m1,0.1,3,6805,0.239942684561,"[0.24722492141708874, 0.24188040197788363, 0.23201426362966268]",False
8fe622488e7ebf75,5840890d5afe6d1c,5,4,m1,1,3,6805,0.239941668671,"[0.2472249125740337, 0.24188074719526573, 0.23201114217330845]",False
d64114016b1eb054,5840890d5afe6d1c,5,4,m1,10,3,6805,0.239941567174,"[0.247224912033519, 0.24188078215965186, 0.23201082958528751]",True
0cb47af8290c02b6,5840890d5afe6d1c,5,5,m0,0.01,3,7029,0.239189381883,"[0.24198978796076703, 0.23395974585835647, 0.24202018363137806]",True
cbc14d50f8d2d6d7,5840890d5afe6d1c,5,5,m0,0.1,3,7029,0.239190252913,"[0.24199196419767255, 0.23395618859601655, 0.2420245052587037]",False
e495ea6fe7101b21,5840890d5afe6d1c,5,5,m0,1,3,7029,0.239190331503,"[0.24199221469581428, 0.23395576531603268, 0.2420249512114097]",False
8cef3f0b06354319,5840890d5afe6d1c,5,5,m0,10,3,7029,0.239190339258,"[0.2419922400915368, 0.23395572223482522, 0.24202499595139393]",False
c65925eb9d1e75fa,5840890d5afe6d1c,5,5,m1,0.01,3,7029,0.238431457009,"[0.241877366666084, 0.2320450411778064, 0.24186266767715933]",False
741fd527a80de739,5840890d5afe6d1c,5,5,m1,0.1,3,7029,0.23842397141,"[0.24188040197788363, 0.23201426362966268, 0.24186971871916102]",False
a3ca3ad0012dcc38,5840890d5afe6d1c,5,5,m1,1,3,7029,0.238423235245,"[0.24188074719526573, 0.23201114217330845, 0.24187046732434203]",False
258b7c541227a13c,5840890d5afe6d1c,5,5,m1,10,3,7029,0.238423161764,"[0.24188078215965186, 0.23201082958528751, 0.24187054263564317]",True
66fd00f200e094cd,5840890d5afe6d1c,5,6,m0,0.01,3,7005,0.239058480569,"[0.23395974585835647, 0.24202018363137806, 0.2416116153045217]",True
0b9860611ba56a59,5840890d5afe6d1c,5,6,m0,0.1,3,7005,0.23905987161,"[0.23395618859601655, 0.2420245052587037, 0.24161542661245802]",False
e4f36c54f1a38287,5840890d5afe6d1c,5,6,m0,1,3,7005,0.239059997944,"[0.23395576531603268, 0.2420249512114097, 0.241615827785356]",False
31740fa8c5e4e545,5840890d5afe6d1c,5,6,m0,10,3,7005,0.239060010426,"[0.23395572223482522, 0.24202499595139393, 0.24161586810924018]",False
27c041f174a0af34,5840890d5afe6d1c,5,6,m1,0.01,3,7005,0.238521172504,"[0.2320450411778064, 0.24186266767715933, 0.24219385926629805]",False
d04de2f51b490f71,5840890d5afe6d1c,5,6,m1,0.1,3,7005,0.238518038389,"[0.23201426362966268, 0.24186971871916102, 0.24221057266003682]",False
830cc1fa8d5f523d,5840890d5afe6d1c,5,6,m1,1,3,7005,0.238517726776,"[0.23201114217330845, 0.24187046732434203, 0.24221225296219367]",False
f9696e1a7ca636b5,5840890d5afe6d1c,5,6,m1,10,3,7005,0.238517695592,"[0.23201082958528751, 0.24187054263564317, 0.24221242094663933]",True
b529c3695311980d,5840890d5afe6d1c,5,7,m0,0.01,3,6756,0.241950968023,"[0.24202018363137806, 0.2416116153045217, 0.24222390700600674]",True
a9e88a3d8ed75e49,5840890d5afe6d1c,5,7,m0,0.1,3,6756,0.241953295582,"[0.2420245052587037, 0.24161542661245802, 0.2422226541247557]",False
4329f428d33ba858,5840890d5afe6d1c,5,7,m0,1,3,6756,0.241953540077,"[0.2420249512114097, 0.241615827785356, 0.2422225300048125]",False
82843521facf2246,5840890d5afe6d1c,5,7,m0,10,3,6756,0.241953564648,"[0.24202499595139393, 0.24161586810924018, 0.2422225176057664]",False
c00e7dee34a7b7b0,5840890d5afe6d1c,5,7,m1,0.01,3,6756,0.242118304034,"[0.24186266767715933, 0.24219385926629805, 0.24230721391169313]",True
923febfa75038b5f,5840890d5afe6d1c,5,7,m1,0.1,3,6756,0.242126706851,"[0.24186971871916102, 0.24221057266003682, 0.24230857580296722]",False
0f4fe6df34228c51,5840890d5afe6d1c,5,7,m1,1,3,6756,0.242127616644,"[0.24187046732434203, 0.24221225296219367, 0.24230887007311327]",False
