trial_id,run_id,resolution_minutes,outer_fold,model,alpha,inner_fold_count,inner_event_count,inner_oof_mean_squared_error,inner_fold_mse_json,selected
9c68858cac5a79df,a33442697ca39f89,5,3,nq_only,0.01,3,3005,316.583932824,"[192.61208293124744, 651.9572313475936, 67.11504080876915]",True
1e43201b830b41e2,a33442697ca39f89,5,3,nq_only,0.1,3,3005,316.583971667,"[192.6120600724901, 651.9575172605657, 67.1148625488577]",False
d668b3e11d581c1f,a33442697ca39f89,5,3,nq_only,1,3,3005,316.584362522,"[192.61183207778242, 651.9603778665379, 67.11308552275014]",False
dd032c731d027be2,a33442697ca39f89,5,3,nq_only,10,3,3005,316.588499519,"[192.60960927823243, 651.9891109354036, 67.09585399540228]",False
2a844f1151f1d571,a33442697ca39f89,5,3,nq_only,100,3,3005,316.643388239,"[192.59154645197071, 652.2761717574363, 66.96356516436725]",False
e3d4d13df26f6389,a33442697ca39f89,5,3,nq_only,1000,3,3005,317.123844088,"[192.50233682153436, 654.0695722441222, 66.56221939147362]",False
9c2abbb8233213c0,a33442697ca39f89,5,3,cross_market,0.01,3,3005,317.130385008,"[192.45093239912973, 652.8362726025265, 68.07159811847984]",False
f404beb616054e7c,a33442697ca39f89,5,3,cross_market,0.1,3,3005,317.130275391,"[192.45094449112898, 652.837270385884, 68.07006752921302]",False
75f5410b3c426881,a33442697ca39f89,5,3,cross_market,1,3,3005,317.129192191,"[192.45106573701725, 652.8471095908511, 68.05496460657933]",False
2aa47ba1d7305eac,a33442697ca39f89,5,3,cross_market,10,3,3005,317.11954304,"[192.45230849985128, 652.933369608951, 67.92185380738938]",False
7fc0dda4a71fc456,a33442697ca39f89,5,3,cross_market,100,3,3005,317.084441049,"[192.46508431557683, 653.3140169832684, 67.35082138899892]",True
a8a5762672b05f6a,a33442697ca39f89,5,3,cross_market,1000,3,3005,317.321976114,"[192.45919268502422, 654.4980353196967, 66.76460489258768]",False
d5ce8f635be64df1,a33442697ca39f89,5,4,nq_only,0.01,3,2843,276.52720065,"[651.9572313475936, 67.11504080876915, 38.09682427610963]",True
9883fec3f357ebf6,a33442697ca39f89,5,4,nq_only,0.1,3,2843,276.527218084,"[651.9575172605657, 67.1148625488577, 38.09671968660011]",False
